AÑO,MES,MAQUINA,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,PROVINCIA,PAIS,TIPO MAQUINA,FUENTE GENERACION,TECNOLOGIA,CATEGORIA HIDRAULICA,CATEGORIA REGION,GENERACION NETA
2021,1/8/2021,MDPATG23,MDP2,CT9JULIG,CT 9 de JULIO C Cost ATLANTICA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"9.751,9"
2021,1/8/2021,MDPATG24,MDP2,CT9JULIG,CT 9 de JULIO C Cost ATLANTICA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"19.830,2"
2021,1/8/2021,SERTTG01,SERT,CTRTERCG,CT RIO TERCERO II - SoENERGY,CENTRO,CORDOBA,Argentina,TURBO GAS,Térmica,TG,,Centro,"2.638,5"
2021,1/8/2021,SAL2TG01,SAL2,CTSALT2G,CT SALTO 2 - SoENERGY,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"10.195,3"
2021,1/8/2021,ROJOTG01,ROJO,CTGROJOG,CT GENERAL ROJO,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,CC,,Gba - Litoral - Buenos Aires,"28.645,6"
2021,1/8/2021,ROJOTG02,ROJO,CTGROJOG,CT GENERAL ROJO,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,CC,,Gba - Litoral - Buenos Aires,"32.558,5"
2021,1/8/2021,ROJOTG03,ROJO,CTGROJOG,CT GENERAL ROJO,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,CC,,Gba - Litoral - Buenos Aires,"26.670,7"
2021,1/8/2021,CAIMDI01,CAIM,CTCAIMAG,CT CAIMANCITO -SULLAIR,NOROESTE,JUJUY,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"833,7"
2021,1/8/2021,BRAGTG05,BRA3,CTBRAG3G,CT BRAGADO 3 - GENNEIA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,BRAGTG06,BRA3,CTBRAG3G,CT BRAGADO 3 - GENNEIA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"6.244,8"
2021,1/8/2021,CAIMDI02,CAIM,CTCAIMAG,CT CAIMANCITO -SULLAIR,NOROESTE,JUJUY,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"938,5"
2021,1/8/2021,CAIMDI03,CAIM,CTCAIMAG,CT CAIMANCITO -SULLAIR,NOROESTE,JUJUY,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"862,1"
2021,1/8/2021,CAIMDI04,CAIM,CTCAIMAG,CT CAIMANCITO -SULLAIR,NOROESTE,JUJUY,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"1.052,0"
2021,1/8/2021,CAIMDI05,CAIM,CTCAIMAG,CT CAIMANCITO -SULLAIR,NOROESTE,JUJUY,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"1.018,6"
2021,1/8/2021,MMARTG06,MMAR,GMEDIT2G,GENERACION MEDITERRANEA 220,CENTRO,CORDOBA,Argentina,TURBO GAS,Térmica,TG,,Centro,"577,8"
2021,1/8/2021,MMARTG07,MMAR,GMEDIT2G,GENERACION MEDITERRANEA 220,CENTRO,CORDOBA,Argentina,TURBO GAS,Térmica,TG,,Centro,"571,0"
2021,1/8/2021,LDLATG05,LDLA,CTLLATAG,CT LOMA DE LA LATA II(NEUQEUN),COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,TG,,Comahue,"63.384,8"
2021,1/8/2021,PERZDI01,PERZ,CTPEREZG,CT PEREZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"1.219,7"
2021,1/8/2021,CGOMDI01,CGOM,CTCGOMEG,CT CAÑADA DE GOMEZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"2.253,8"
2021,1/8/2021,OCAMDI01,OCAM,CTVOCAMG,CT VILLA OCAMPO - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"54,3"
2021,1/8/2021,CGOMDI02,CGOM,CTCGOMEG,CT CAÑADA DE GOMEZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"2.211,3"
2021,1/8/2021,CGOMDI03,CGOM,CTCGOMEG,CT CAÑADA DE GOMEZ - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"2.089,9"
